2014-09-13,Penn St,13,Rutgers,10
2014-09-13,Nebraska,55,Fresno St,19
2014-09-18,Auburn,20,Kansas St,14
2014-09-19,South Florida,17,Connecticut,14
2014-09-20,Marshall,48,Akron,17
2014-09-20,Boston College,40,Maine,10
2014-09-20,Buffalo,36,Norfolk St,7
2014-09-20,Cincinnati,31,Miami OH,24
2014-09-20,Duke,47,Tulane,13
2014-09-20,East Carolina,70,North Carolina,41
2014-09-20,Georgia,66,Troy,0
2014-09-20,Utah,26,Michigan,10
2014-09-20,Michigan St,73,E Michigan,14
2014-09-20,NC State,42,Presbyterian,0
2014-09-20,Ohio,36,Idaho,24
2014-09-20,Penn St,48,Massachusetts,7
2014-09-20,Iowa,24,Pittsburgh,20
2014-09-20,Purdue,35,S Illinois,13
2014-09-20,Maryland,34,Syracuse,20
2014-09-20,Temple,59,Delaware St,0
2014-09-20,Toledo,34,Ball St,23
2014-09-20,UCF,41,Bethune-Cookman,7
2014-09-20,Georgia Tech,27,Virginia Tech,24
2014-09-20,Wake Forest,24,Army,21
2014-09-20,W Michigan,45,Murray St,14
2014-09-20,Oklahoma,45,West Virginia,33
2014-09-20,Florida St,23,Clemson,17
2014-09-20,Louisville,34,Florida Intl,3
2014-09-20,Alabama,42,Florida,21
2014-09-20,Arkansas,52,N Illinois,14
2014-09-20,Arkansas St,21,Utah St,14
2014-09-20,Illinois,42,Texas St,35
2014-09-20,Kansas,24,C Michigan,10
2014-09-20,Mississippi St,34,LSU,29
2014-09-20,Northwestern LA,30,Louisiana Tech,27
2014-09-20,Memphis,36,MTSU,17
2014-09-20,Minnesota,24,San Jose St,7
2014-09-20,Indiana,31,Missouri,27
2014-09-20,North Texas,77,Nicholls St,3
2014-09-20,Northwestern,24,W Illinois,7
2014-09-20,Old Dominion,45,Rice,42
2014-09-20,Ga Southern,28,South Alabama,6
2014-09-20,Southern Miss,21,Appalachian St,20
2014-09-20,Wisconsin,68,Bowling Green,17
2014-09-20,South Carolina,48,Vanderbilt,34
2014-09-20,Texas A&M,58,SMU,6
2014-09-20,BYU,41,Virginia,33
2014-09-20,Colorado,21,Hawaii,12
2014-09-20,Wyoming,20,FL Atlantic,19
2014-09-20,Arizona,49,California,45
2014-09-20,Fresno St,56,Southern Utah,16
2014-09-20,Oregon St,28,San Diego St,7
2014-09-20,Washington,45,Georgia St,14
2014-09-20,Oregon,38,Washington St,31
2014-09-20,Rutgers,31,Navy,24
2014-09-20,Nebraska,41,Miami FL,31
2014-09-20,New Mexico,38,New Mexico St,35
2014-09-20,Boise St,34,ULL,9
2014-09-20,Houston,47,UNLV,14
2014-09-25,Ga Southern,34,Appalachian St,14
2014-09-25,Oklahoma St,45,Texas Tech,35
2014-09-25,UCLA,62,Arizona St,27
2014-09-26,MTSU,41,Old Dominion,28
2014-09-26,Fresno St,35,New Mexico,24
2014-09-27,Colorado St,24,Boston College,21
2014-09-27,Buffalo,35,Miami OH,27
2014-09-27,Clemson,50,North Carolina,35
2014-09-27,Temple,36,Connecticut,10
2014-09-27,FL Atlantic,41,UT San Antonio,37
2014-09-27,Georgia,35,Tennessee,32
2014-09-27,Maryland,37,Indiana,15
2014-09-27,Louisville,20,Wake Forest,10
2014-09-27,Bowling Green,47,Massachusetts,42
2014-09-27,Minnesota,30,Michigan,14
2014-09-27,Michigan St,56,Wyoming,14
2014-09-27,Ohio,34,E Illinois,19
2014-09-27,Northwestern,29,Penn St,6
2014-09-27,Akron,21,Pittsburgh,10
2014-09-27,Iowa,24,Purdue,10
2014-09-27,Rutgers,31,Tulane,6
2014-09-27,Toledo,42,C Michigan,28
2014-09-27,Virginia,45,Kent,13
2014-09-27,Virginia Tech,35,W Michigan,17
2014-09-27,Yale,49,Army,43
2014-09-27,Florida St,56,NC State,41
2014-09-27,Missouri,21,South Carolina,20
2014-09-27,Notre Dame,31,Syracuse,15
2014-09-27,Miami FL,22,Duke,10
2014-09-27,Kentucky,17,Vanderbilt,7
2014-09-27,Auburn,45,Louisiana Tech,17
2014-09-27,Texas,23,Kansas,0
2014-09-27,Kansas St,58,UTEP,28
2014-09-27,LSU,63,New Mexico St,7
2014-09-27,Mississippi,24,Memphis,3
2014-09-27,TCU,56,SMU,0
2014-09-27,Rice,41,Southern Miss,23
2014-09-27,Texas A&M,35,Arkansas,28
2014-09-27,Texas St,37,Tulsa,34
2014-09-27,Florida Intl,34,UAB,20
2014-09-27,Wisconsin,27,South Florida,10
2014-09-27,Baylor,49,Iowa St,28
2014-09-27,Washington St,28,Utah,27
2014-09-27,California,59,Colorado,56
2014-09-27,South Alabama,34,Idaho,10
2014-09-27,San Diego St,34,UNLV,17
2014-09-27,USC,35,Oregon St,10
2014-09-27,Stanford,20,Washington,13
2014-09-27,WKU,36,Navy,27
2014-09-27,Ohio St,50,Cincinnati,28
2014-09-27,Air Force,28,Boise St,14
2014-09-27,ULM,22,Troy,20
2014-09-27,Nebraska,45,Illinois,14
2014-09-27,Nevada,21,San Jose St,10
2014-10-02,Florida Intl,38,FL Atlantic,10
2014-10-02,UCF,17,Houston,12
2014-10-02,Arizona,31,Oregon,24
2014-10-03,Louisville,28,Syracuse,6
2014-10-03,Utah St,35,BYU,20
2014-10-03,Fresno St,24,San Diego St,13
2014-10-04,Akron,31,E Michigan,6
2014-10-04,South Alabama,47,Appalachian St,21
2014-10-04,Army,33,Ball St,24
2014-10-04,Bowling Green,36,Buffalo,35
2014-10-04,C Michigan,28,Ohio,10
2014-10-04,Memphis,41,Cincinnati,14
2014-10-04,Clemson,41,NC State,0
2014-10-04,East Carolina,45,SMU,24
2014-10-04,Florida St,43,Wake Forest,3
2014-10-04,Georgia Tech,28,Miami FL,17
2014-10-04,Indiana,49,North Texas,24
2014-10-04,Miami OH,42,Massachusetts,41
2014-10-04,Virginia Tech,34,North Carolina,17
2014-10-04,Marshall,56,Old Dominion,14
2014-10-04,Florida,10,Tennessee,9
2014-10-04,Virginia,24,Pittsburgh,19
2014-10-04,West Virginia,33,Kansas,14
2014-10-04,Toledo,20,W Michigan,19
2014-10-04,Kentucky,45,South Carolina,38
2014-10-04,Ohio St,52,Maryland,24
2014-10-04,Georgia,44,Vanderbilt,17
2014-10-04,Arkansas St,28,ULM,14
2014-10-04,Purdue,38,Illinois,27
2014-10-04,Kansas St,45,Texas Tech,13
2014-10-04,ULL,34,Georgia St,31
2014-10-04,Louisiana Tech,55,UTEP,3
2014-10-04,MTSU,37,Southern Miss,31
2014-10-04,N Illinois,17,Kent,14
2014-10-04,Oklahoma St,37,Iowa St,20
2014-10-04,Rice,28,Hawaii,14
2014-10-04,Texas St,35,Idaho,30
2014-10-04,New Mexico,21,UT San Antonio,9
2014-10-04,UAB,42,WKU,39
2014-10-04,TCU,37,Oklahoma,33
2014-10-04,Mississippi,23,Alabama,17
2014-10-04,Baylor,28,Texas,7
2014-10-04,Auburn,41,LSU,7
2014-10-04,Mississippi St,48,Texas A&M,31
2014-10-04,Northwestern,20,Wisconsin,14
2014-10-04,Oregon St,36,Colorado,31
2014-10-04,Colorado St,42,Tulsa,17
2014-10-04,San Jose St,33,UNLV,10
2014-10-04,Utah,30,UCLA,28
2014-10-04,California,60,Washington St,59
2014-10-04,Arizona St,38,USC,34
2014-10-04,Air Force,30,Navy,21
2014-10-04,Notre Dame,17,Stanford,14
2014-10-04,Rutgers,26,Michigan,24
2014-10-04,Michigan St,27,Nebraska,22
2014-10-04,Ga Southern,36,New Mexico St,28
2014-10-04,Boise St,51,Nevada,46
2014-10-09,UCF,31,BYU,24
2014-10-10,Stanford,34,Washington St,17
2014-10-10,San Diego St,24,New Mexico,14
2014-10-10,UNLV,30,Fresno St,27
2014-10-11,Akron,29,Miami OH,19
2014-10-11,Liberty,55,Appalachian St,48
2014-10-11,Rice,41,Army,21
2014-10-11,W Michigan,42,Ball St,38
2014-10-11,E Michigan,37,Buffalo,27
2014-10-11,Arkansas St,52,Georgia St,10
2014-10-11,Iowa,45,Indiana,29
2014-10-11,Massachusetts,40,Kent,17
2014-10-11,Kentucky,48,ULM,14
2014-10-11,Marshall,49,MTSU,24
2014-10-11,Miami FL,55,Cincinnati,34
2014-10-11,Navy,51,VMI,14
2014-10-11,Boston College,30,NC State,14
2014-10-11,Bowling Green,31,Ohio,13
2014-10-11,East Carolina,28,South Florida,17
2014-10-11,Temple,35,Tulsa,24
2014-10-11,Tennessee,45,Chattanooga,10
2014-10-11,Florida St,38,Syracuse,20
2014-10-11,Michigan St,45,Purdue,31
2014-10-11,LSU,30,Florida,27
2014-10-11,Clemson,23,Louisville,17
2014-10-11,Duke,31,Georgia Tech,25
2014-10-11,Baylor,61,TCU,58
2014-10-11,Iowa St,37,Toledo,30
2014-10-11,Houston,28,Memphis,24
2014-10-11,Minnesota,24,Northwestern,17
2014-10-11,Georgia,34,Missouri,0
2014-10-11,C Michigan,34,N Illinois,17
2014-10-11,Oklahoma,31,Texas,26
2014-10-11,Mississippi,35,Texas A&M,20
2014-10-11,West Virginia,37,Texas Tech,34
2014-10-11,Troy,41,New Mexico St,24
2014-10-11,Tulane,12,Connecticut,3
2014-10-11,UAB,56,North Texas,21
2014-10-11,UT San Antonio,16,Florida Intl,13
2014-10-11,Vanderbilt,21,Charleston So,20
2014-10-11,Wisconsin,38,Illinois,28
2014-10-11,Mississippi St,38,Auburn,23
2014-10-11,Alabama,14,Arkansas,13
2014-10-11,Oklahoma St,27,Kansas,20
2014-10-11,UTEP,42,Old Dominion,35
2014-10-11,Utah St,34,Air Force,16
2014-10-11,Oregon,42,UCLA,30
2014-10-11,USC,28,Arizona,26
2014-10-11,Washington,31,California,7
2014-10-11,Notre Dame,50,North Carolina,43
2014-10-11,Ga Southern,47,Idaho,24
2014-10-11,Hawaii,38,Wyoming,28
2014-10-11,Michigan,18,Penn St,13
2014-10-11,Colorado St,31,Nevada,24
2014-10-14,ULL,34,Texas St,10
2014-10-16,Pittsburgh,21,Virginia Tech,16
2014-10-16,Utah,29,Oregon St,23
2014-10-17,Boise St,37,Fresno St,27
2014-10-17,Houston,31,Temple,10
2014-10-18,W Michigan,26,Bowling Green,14
2014-10-18,Ball St,32,C Michigan,29
2014-10-18,Duke,20,Virginia,13
2014-10-18,Marshall,45,Florida Intl,13
2014-10-18,FL Atlantic,45,WKU,38
2014-10-18,Kent,39,Army,17
2014-10-18,Louisville,30,NC State,18
2014-10-18,Maryland,38,Iowa,31
2014-10-18,Massachusetts,36,E Michigan,14
2014-10-18,Minnesota,39,Purdue,38
2014-10-18,North Carolina,48,Georgia Tech,43
2014-10-18,Ohio,23,Akron,20
2014-10-18,South Carolina,41,Furman,10
2014-10-18,UCF,20,Tulane,13
2014-10-18,Syracuse,30,Wake Forest,7
2014-10-18,Missouri,42,Florida,13
2014-10-18,Clemson,17,Boston College,13
2014-10-18,West Virginia,41,Baylor,27
2014-10-18,Florida St,31,Notre Dame,27
2014-10-18,Georgia,45,Arkansas,32
2014-10-18,LSU,41,Kentucky,3
2014-10-18,Louisiana Tech,27,UT San Antonio,20
2014-10-18,MTSU,34,UAB,22
2014-10-18,Southern Miss,30,North Texas,20
2014-10-18,N Illinois,51,Miami OH,41
2014-10-18,Kansas St,31,Oklahoma,30
2014-10-18,Mississippi,34,Tennessee,3
2014-10-18,Cincinnati,41,SMU,3
2014-10-18,South Alabama,30,Georgia St,27
2014-10-18,Texas,48,Iowa St,45
2014-10-18,Texas Tech,34,Kansas,21
2014-10-18,Appalachian St,53,Troy,14
2014-10-18,South Florida,38,Tulsa,30
2014-10-18,TCU,42,Oklahoma St,9
2014-10-18,Alabama,59,Texas A&M,0
2014-10-18,Air Force,35,New Mexico,31
